❯ python train_cifar100_resnet_v3.py --arch resnet18 --epochs 130 --batch-size 256 --max-lr 0.4 --pct-start 0.3 --div-factor 25 --final-div-factor 10000 --weight-decay 5e-4 --label-smoothing 0.05 --autoaugment --cutmix-prob 0.5 --cutmix-alpha 1.0 --random-erasing 0.0 --ema 0.999 --nesterov
Files already downloaded and verified
Files already downloaded and verified
Epoch 106/130 | train: loss 2.214 acc 53.12% | val: loss 1.164 acc 68.57% | best: 69.98%
Epoch 107/130 | train: loss 2.179 acc 53.95% | val: loss 1.092 acc 70.28% | best: 70.28%
Epoch 108/130 | train: loss 2.221 acc 53.43% | val: loss 1.235 acc 67.99% | best: 70.28%
Epoch 109/130 | train: loss 2.179 acc 54.43% | val: loss 1.136 acc 69.89% | best: 70.28%
Epoch 107/130 | train: loss 2.179 acc 53.95% | val: loss 1.092 acc 70.28% | best: 70.28%
Epoch 108/130 | train: loss 2.221 acc 53.43% | val: loss 1.235 acc 67.99% | best: 70.28%
Epoch 109/130 | train: loss 2.179 acc 54.43% | val: loss 1.136 acc 69.89% | best: 70.28%
Epoch 110/130 | train: loss 2.227 acc 53.55% | val: loss 1.387 acc 63.79% | best: 70.28%
Epoch 111/130 | train: loss 2.071 acc 57.05% | val: loss 1.216 acc 68.53% | best: 70.28%
Epoch 112/130 | train: loss 2.085 acc 57.02% | val: loss 1.375 acc 63.98% | best: 70.28%
Epoch 110/130 | train: loss 2.227 acc 53.55% | val: loss 1.387 acc 63.79% | best: 70.28%
Epoch 111/130 | train: loss 2.071 acc 57.05% | val: loss 1.216 acc 68.53% | best: 70.28%
Epoch 112/130 | train: loss 2.085 acc 57.02% | val: loss 1.375 acc 63.98% | best: 70.28%
Epoch 113/130 | train: loss 2.054 acc 57.63% | val: loss 1.446 acc 63.37% | best: 70.28%
Epoch 114/130 | train: loss 2.023 acc 58.39% | val: loss 2.198 acc 48.94% | best: 70.28%
Epoch 115/130 | train: loss 2.160 acc 55.52% | val: loss 1.767 acc 56.68% | best: 70.28%
Epoch 113/130 | train: loss 2.054 acc 57.63% | val: loss 1.446 acc 63.37% | best: 70.28%
Epoch 114/130 | train: loss 2.023 acc 58.39% | val: loss 2.198 acc 48.94% | best: 70.28%
Epoch 115/130 | train: loss 2.160 acc 55.52% | val: loss 1.767 acc 56.68% | best: 70.28%
Epoch 116/130 | train: loss 1.943 acc 60.55% | val: loss 1.506 acc 62.36% | best: 70.28%
Epoch 117/130 | train: loss 1.954 acc 60.56% | val: loss 1.829 acc 54.72% | best: 70.28%
Epoch 116/130 | train: loss 1.943 acc 60.55% | val: loss 1.506 acc 62.36% | best: 70.28%
Epoch 117/130 | train: loss 1.954 acc 60.56% | val: loss 1.829 acc 54.72% | best: 70.28%
Epoch 118/130 | train: loss 1.928 acc 61.19% | val: loss 1.776 acc 56.24% | best: 70.28%
Epoch 118/130 | train: loss 1.928 acc 61.19% | val: loss 1.776 acc 56.24% | best: 70.28%
Epoch 119/130 | train: loss 1.981 acc 60.13% | val: loss 1.638 acc 58.73% | best: 70.28%
Epoch 120/130 | train: loss 1.879 acc 62.55% | val: loss 1.707 acc 57.80% | best: 70.28%
Epoch 119/130 | train: loss 1.981 acc 60.13% | val: loss 1.638 acc 58.73% | best: 70.28%
Epoch 120/130 | train: loss 1.879 acc 62.55% | val: loss 1.707 acc 57.80% | best: 70.28%
Epoch 121/130 | train: loss 1.724 acc 66.81% | val: loss 1.696 acc 57.43% | best: 70.28%
Epoch 122/130 | train: loss 1.656 acc 68.90% | val: loss 1.585 acc 59.81% | best: 70.28%
Epoch 123/130 | train: loss 1.787 acc 65.51% | val: loss 1.651 acc 58.95% | best: 70.28%
Epoch 121/130 | train: loss 1.724 acc 66.81% | val: loss 1.696 acc 57.43% | best: 70.28%
Epoch 122/130 | train: loss 1.656 acc 68.90% | val: loss 1.585 acc 59.81% | best: 70.28%
Epoch 123/130 | train: loss 1.787 acc 65.51% | val: loss 1.651 acc 58.95% | best: 70.28%
Epoch 124/130 | train: loss 1.764 acc 66.29% | val: loss 1.411 acc 63.54% | best: 70.28%
Epoch 125/130 | train: loss 1.815 acc 65.22% | val: loss 1.388 acc 64.09% | best: 70.28%
Epoch 124/130 | train: loss 1.764 acc 66.29% | val: loss 1.411 acc 63.54% | best: 70.28%
Epoch 125/130 | train: loss 1.815 acc 65.22% | val: loss 1.388 acc 64.09% | best: 70.28%
Epoch 126/130 | train: loss 1.579 acc 70.93% | val: loss 1.225 acc 67.82% | best: 70.28%
Epoch 126/130 | train: loss 1.579 acc 70.93% | val: loss 1.225 acc 67.82% | best: 70.28%
Epoch 127/130 | train: loss 1.607 acc 70.21% | val: loss 1.049 acc 71.84% | best: 71.84%
Epoch 128/130 | train: loss 1.592 acc 70.89% | val: loss 0.981 acc 73.71% | best: 73.71%
Epoch 127/130 | train: loss 1.607 acc 70.21% | val: loss 1.049 acc 71.84% | best: 71.84%
Epoch 128/130 | train: loss 1.592 acc 70.89% | val: loss 0.981 acc 73.71% | best: 73.71%
Epoch 129/130 | train: loss 1.647 acc 69.44% | val: loss 0.944 acc 74.93% | best: 74.93%
Epoch 129/130 | train: loss 1.647 acc 69.44% | val: loss 0.944 acc 74.93% | best: 74.93%
Epoch 130/130 | train: loss 1.573 acc 71.37% | val: loss 0.876 acc 76.72% | best: 76.72%
Epoch 130/130 | train: loss 1.573 acc 71.37% | val: loss 0.876 acc 76.72% | best: 76.72%
Training complete. Best top-1: 76.72%
Training complete. Best top-1: 76.72%
